Strategy,Bars,Signals,ClosedTrades,Wins,Losses,WinRate,GrossProfit,GrossLoss,ProfitFactor,AverageWin,AverageLoss,PayoffRatio,Expectancy,TradeStdDev,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown
TradingBrain.Trend,48372,182,91,44,39,48.35164835,7547.5,-3976.25,1.89814524,171.53409091,-101.95512821,1.68244691,39.24450549,184.5217466,3571.25,249.34,3446.58,1.85297874,37.87450549,7142.5,6893.16,1202.25,2.8667748
TradingBrain.Momentum,48372,716,358,132,185,36.87150838,15237,-10349.75,1.47220947,115.43181818,-55.94459459,2.06332388,13.65153631,105.98409837,4887.25,980.92,4396.79,1.41248123,12.28153631,9774.5,8793.58,918.75,4.78562177
TradingBrain.EMA,48372,1370,685,287,370,41.89781022,19866.75,-18558.5,1.0704933,69.22212544,-50.15810811,1.38007848,1.90985401,82.97488255,1308.25,1876.9,369.8,1.0193538,0.53985401,2616.5,739.6,1929.5,0.19165587
TradingBrain.SRS,18348,142,71,43,28,60.56338028,1738.75,-761.5,2.28332239,40.43604651,-27.19642857,1.48681458,13.76408451,46.11770437,977.25,194.54,879.98,2.09812192,12.39408451,1954.5,1759.96,172.25,5.1087373
TradingBrain.ORB,21432,128,64,40,24,62.5,5283.5,-2538.25,2.08155225,132.0875,-105.76041667,1.24893135,42.89453125,194.71095185,2745.25,175.36,2657.57,2.03342251,41.52453125,5490.5,5315.14,624.5,4.25551641
TradingBrain.IbBreakout,11604,84,42,27,15,64.28571429,3783,-1691.75,2.236146,140.11111111,-112.78333333,1.24230333,49.79166667,173.49495597,2091.25,115.08,2033.71,2.18770659,48.42166667,4182.5,4067.42,707.75,2.8734864
TradingBrain.VwapReversion,6744,122,61,33,28,54.09836066,2457.5,-1433,1.71493371,74.46969697,-51.17857143,1.45509527,16.79508197,73.18841991,1024.5,167.14,940.93,1.63949679,15.42508197,2049,1881.86,331.75,2.83626225
TradingBrain.BollingerFade,5028,50,25,15,10,60,855.5,-435,1.96666667,57.03333333,-43.5,1.31111111,16.82,61.82656016,420.5,68.5,386.25,1.86082015,15.45,841,772.5,208.25,1.8547419
TradingBrain.Range,5028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TradingBrain.Volatility,11544,126,63,27,36,42.85714286,2363.25,-1795.25,1.31639047,87.52777778,-49.86805556,1.7551873,9.01587302,100.9337941,568,172.62,481.69,1.26113945,7.64587302,1136,963.38,476.5,1.01089192
