Strategy,Split,Score,Trades,WinRate,NetPnL,MaxDrawdown,ReturnToDrawdown
TradingBrain.Momentum,IS,73.21110325,224,37.94642857,3123.12,686.5,4.54933722
TradingBrain.Momentum,OOS,147.35854623,108,37.96296296,2895.54,600,4.8259
TradingBrain.Momentum,IS,69.40854686,220,39.54545455,3073.6,771.25,3.9852188
TradingBrain.Momentum,OOS,129.40787021,108,37.96296296,2761.04,661.5,4.17390779
TradingBrain.Momentum,IS,65.24395762,231,37.66233766,2991.78,709.25,4.21823053
TradingBrain.Momentum,OOS,122.3781259,113,36.28318584,2742.69,663.75,4.13211299
TradingBrain.EMA,IS,72.78062623,138,39.13043478,1786.69,338.75,5.27436162
TradingBrain.EMA,OOS,25.11271513,114,38.59649123,885.32,474,1.86776371
TradingBrain.EMA,IS,70.11221013,137,43.06569343,1880.56,442.25,4.25225551
TradingBrain.EMA,OOS,25.14282502,119,41.17647059,956.72,613.75,1.55881059
TradingBrain.EMA,IS,69.16817094,133,43.60902256,1808.54,411.5,4.39499392
TradingBrain.EMA,OOS,45.77056049,107,42.99065421,1276.91,427,2.99042155
TradingBrain.Trend,IS,791.91122167,50,58,3569.5,327,10.91590214
TradingBrain.Trend,OOS,36.8088306,35,40,603.55,1177.25,0.51267785
TradingBrain.Trend,IS,781.77527206,50,60,3586,342.25,10.47772096
TradingBrain.Trend,OOS,29.43910305,35,40,506.05,1202.25,0.42091911
TradingBrain.Trend,IS,728.61491526,52,53.84615385,3441.76,331.5,10.38238311
TradingBrain.Trend,OOS,16.95983657,36,36.11111111,320.43,1177.25,0.27218518
TradingBrain.SRS,IS,77.43751774,43,48.8372093,666.84,263.75,2.52830332
TradingBrain.SRS,OOS,87.07133475,25,68,459.25,165.75,2.77073906
TradingBrain.SRS,IS,74.61002535,43,48.8372093,653.09,263.75,2.47617062
TradingBrain.SRS,OOS,111.87067881,25,72,507.5,165.75,3.06184012
TradingBrain.SRS,IS,59.77481444,43,58.13953488,535.34,177.5,3.016
TradingBrain.SRS,OOS,129.20549585,25,80,453,97.5,4.64615385
TradingBrain.ORB,IS,461.37947362,29,62.06896552,2127.52,491,4.33303462
TradingBrain.ORB,OOS,22.67469095,20,55,256.1,652.5,0.39249042
TradingBrain.ORB,IS,461.37947362,29,62.06896552,2127.52,491,4.33303462
TradingBrain.ORB,OOS,22.67469095,20,55,256.1,652.5,0.39249042
TradingBrain.ORB,IS,443.58768618,29,62.06896552,2109.02,509.5,4.13939156
TradingBrain.ORB,OOS,22.67469095,20,55,256.1,652.5,0.39249042
TradingBrain.IbBreakout,IS,247.5369612,25,52,1329.75,375,3.546
TradingBrain.IbBreakout,OOS,32.48676203,16,56.25,287.83,498,0.57797189
TradingBrain.IbBreakout,IS,247.5369612,25,52,1329.75,375,3.546
TradingBrain.IbBreakout,OOS,32.48676203,16,56.25,287.83,498,0.57797189
TradingBrain.IbBreakout,IS,247.5369612,25,52,1329.75,375,3.546
TradingBrain.IbBreakout,OOS,32.48676203,16,56.25,287.83,498,0.57797189
TradingBrain.VwapReversion,IS,796.22976297,20,85,1140.35,166.25,6.85924812
TradingBrain.VwapReversion,IS,600.57810645,20,85,1099.85,197.25,5.57591888
TradingBrain.VwapReversion,IS,592.51812123,21,80.95238095,1104.48,166.25,6.64348872
TradingBrain.BollingerFade,IS,42.23035988,22,68.18181818,280.61,153,1.83405229
TradingBrain.BollingerFade,IS,42.23035988,22,68.18181818,280.61,153,1.83405229
TradingBrain.BollingerFade,IS,42.23035988,22,68.18181818,280.61,153,1.83405229
TradingBrain.Volatility,IS,55.17146891,32,37.5,544.66,325.75,1.67201842
TradingBrain.Volatility,OOS,-Infinity,23,34.7826087,-77.26,428,-0.18051402
TradingBrain.Volatility,IS,55.17146891,32,37.5,544.66,325.75,1.67201842
TradingBrain.Volatility,OOS,-Infinity,23,34.7826087,-98.76,428,-0.23074766
TradingBrain.Volatility,IS,46.19766146,33,36.36363636,503.29,361.75,1.39126469
TradingBrain.Volatility,OOS,3.37460467,23,34.7826087,52.74,351.5,0.15004267
